Trou,Debut,Fin,ValManq,Incré
1,546,612,67,0
2,1059,1059,1,382.0
3,1878,1879,2,114.5
4,1944,1944,1,11.0
5,2119,2125,7,11.857142857142858
6,2127,2143,17,0
7,2146,2153,8,9.875
8,2172,2173,2,8.0
9,3282,3283,2,1.5
10,3524,3528,5,2.0
11,3641,3641,1,81.0
12,3647,3665,19,0
13,3709,3780,72,0
14,3797,3833,37,0
15,4089,4090,2,26.5
16,4139,4162,24,0
17,5397,5464,68,0
18,6079,6094,16,0
19,6284,6288,5,8.4
20,6318,6472,155,0
21,6474,6549,76,0
22,6831,6832,2,9.0
23,7306,7359,54,0
24,7812,7813,2,7.5
25,8761,8784,24,0
26,8945,8992,48,0
27,10317,10323,7,1.2857142857142856
28,10345,10345,1,9.0
29,10369,10369,1,2.0
30,10582,10672,91,0
31,10729,10729,1,3.0
32,10893,10896,4,18.75
33,10898,10905,8,8.0
34,10908,10911,4,7.0
35,10916,10917,2,64.5
36,10921,10921,1,66.0
37,10945,10945,1,8.0
38,10988,10991,4,6.5
39,11051,11102,52,0
40,11106,11112,7,5.285714285714286
41,11114,11123,10,4.6
42,11137,11137,1,33.0
43,11161,11161,1,5.0
44,11248,11256,9,4.555555555555555
45,11258,11269,12,3.0833333333333335
46,11274,11280,7,2.571428571428571
47,11282,11295,14,3.857142857142857
48,11305,11305,1,5.0
49,11329,11329,1,4.0
50,11413,11421,9,1.5555555555555556
51,11423,11424,2,13.5
52,11426,11435,10,4.5
53,11437,11437,1,6.0
54,11442,11448,7,4.0
55,11450,11463,14,3.357142857142857
56,11465,11465,1,7.0
57,11473,11473,1,4.0
58,11497,11497,1,59.0
59,11583,11592,10,7.0
60,11594,11600,7,1.1428571428571428
61,11795,11795,1,6.0
62,12236,12236,1,9.0
63,12252,12280,29,0
64,12381,12381,1,11.0
65,12404,12404,1,1.0
66,12465,12469,5,3.8
67,12513,12515,3,6.333333333333333
68,13846,13908,63,0
69,13942,13942,1,17.0
70,13971,13992,22,0
71,13994,14022,29,0
72,14041,14041,1,56.0
73,14064,14085,22,0
74,14103,14104,2,7.0
75,14351,14352,2,7.0
76,14375,14376,2,14.0
77,14378,14400,23,0
78,14402,14410,9,6.0
79,14536,14536,1,4.0
80,15205,15205,1,47.0
81,15374,15472,99,0
82,15593,15593,1,111.0
83,15884,15884,1,26.0
84,15905,15905,1,31.0
85,15907,15912,6,13.0
86,15930,15948,19,0
87,15961,15961,1,13.0
88,16068,16069,2,8.5
89,16428,16429,2,29.0
90,16764,16764,1,2.0
91,17269,17269,1,2.0
92,17843,17916,74,0
93,18947,18952,6,9.833333333333334
94,19019,19019,1,21.0
95,19023,19023,1,5.0
96,19119,19119,1,4.0
97,19289,19289,1,55.0
98,20344,20344,1,9.0
99,20514,20514,1,47.0
100,20877,20916,40,0
101,20936,20943,8,5.625
102,20988,20989,2,12.5
103,21081,21081,1,13.0
104,21094,21094,1,26.0
105,21523,21528,6,2.166666666666667
106,21613,21613,1,5.0
107,21631,21631,1,103.0
108,21664,21664,1,11.0
109,21673,21673,1,14.0
110,21723,21723,1,12.0
111,21842,21842,1,21.0
112,21903,21903,1,5.0
113,21908,21908,1,3.0
114,21929,21929,1,4.0
115,21944,21944,1,7.0
116,21978,21978,1,9.0
117,22173,22174,2,2.5
118,22288,22288,1,8.0
119,22298,22298,1,11.0
120,22513,22513,1,8.0
121,22539,22539,1,6.0
122,22554,22597,44,0
123,22630,22630,1,2.0
124,22697,22697,1,9.0
125,22890,22931,42,0
126,22945,22945,1,4.0
127,23008,23009,2,7.0
128,23032,23032,1,13.0
129,23052,23125,74,0
130,23711,23711,1,3.0
131,23742,23742,1,37.0
132,23981,23981,1,1.0
133,24011,24013,3,5.333333333333333
134,24148,24148,1,8.0
135,24469,24469,1,12.0
136,24569,24569,1,46.0
137,24804,24804,1,10.0
138,25293,25312,20,0
139,25457,25458,2,9.0
140,25759,25759,1,4.0
141,26024,26024,1,10.0
142,26049,26049,1,201.0
143,26095,26221,127,0
144,26578,26578,1,42.0
145,26607,26607,1,97.0
146,26656,26656,1,13.0
147,26667,26667,1,114.0
148,26982,26982,1,79.0
149,27372,27372,1,7.0
150,27804,27804,1,3.0
151,27860,27860,1,1.0
152,28045,28045,1,13.0
153,28088,28088,1,4.0
154,28309,28309,1,26.0
155,28497,28497,1,43.0
156,28715,28715,1,9.0
157,28818,28818,1,4.0
158,28836,28836,1,11.0
159,28842,28842,1,2.0
160,29585,29600,16,0
161,29846,29846,1,1.0
162,30396,30397,2,1.5
163,31047,31047,1,23.0
164,31164,31169,6,4.5
165,31825,31825,1,18.0
166,31873,31873,1,4.0
167,31902,31902,1,2.0
168,31911,31912,2,3.0
169,32102,32105,4,1.25
170,32434,32435,2,16.0
171,32751,32751,1,12.0
172,33039,33042,4,3.25
173,33376,33377,2,3.0
174,34049,34049,1,48.0
175,34131,34131,1,74.0
176,34794,34795,2,14.0
177,34989,34989,1,9.0
178,35011,35027,17,0
179,35330,35334,5,2.6
180,35585,35586,2,30.5
181,36234,36234,1,25.0
182,36276,36276,1,26.0
183,36339,36339,1,16.0
184,36977,36977,1,10.0
185,37456,37456,1,18.0
186,37553,37554,2,1.5
187,38412,38413,2,1.5
188,38785,38785,1,2.0
189,38809,38809,1,10.0
190,38833,38833,1,8.0
191,38857,38857,1,32.0
192,38881,38881,1,3.0
193,38883,38891,9,1.6666666666666665
194,39111,39111,1,26.0
195,39113,39114,2,19.0
196,39686,39690,5,2.2
197,39924,39925,2,4.0
198,40577,40578,2,5.5
199,40625,40633,9,3.4444444444444446
200,41264,41264,1,4.0
201,41277,41277,1,9.0
202,41348,41348,1,45.0
203,41441,41441,1,12.0
204,41444,41444,1,15.0
205,42089,42089,1,15.0
206,42491,42491,1,3.0
207,42666,42666,1,5.0
208,42838,42849,12,8.333333333333332
209,43191,43192,2,2.0
210,43265,43265,1,37.0
211,43267,43271,5,2.8
212,43274,43284,11,15.454545454545455
213,43545,43553,9,1.0
